stratification,strata,year,measure,prevalence,median_prevalence,prevalence_lci,prevalence_uci,file_name
FIPS,01001,2022-2023,Obesity,0.41529702892028086,0.4106606700282182,0.2943066652889024,0.5653170429313186,C:/Cloud/OneDrive - Emory University/Papers/Pursuant User Profiles/working/model/ktana10/glmer_20222023_county_obesity estimates.csv
FIPS,01003,2022-2023,Obesity,0.4064237370053261,0.3998305625055925,0.2771708622330846,0.5478026129885707,C:/Cloud/OneDrive - Emory University/Papers/Pursuant User Profiles/working/model/ktana10/glmer_20222023_county_obesity estimates.csv
FIPS,01005,2022-2023,Obesity,0.546175721624936,0.5487927227209477,0.4089554548462292,0.685984175067714,C:/Cloud/OneDrive - Emory University/Papers/Pursuant User Profiles/working/model/ktana10/glmer_20222023_county_obesity estimates.csv
FIPS,01007,2022-2023,Obesity,0.5427573678006473,0.543413886928686,0.4020819777439933,0.6729918309675477,C:/Cloud/OneDrive - Emory University/Papers/Pursuant User Profiles/working/model/ktana10/glmer_20222023_county_obesity estimates.csv
FIPS,01009,2022-2023,Obesity,0.4957620532418516,0.5000063296668793,0.34110932559515417,0.6500652031235002,C:/Cloud/OneDrive - Emory University/Papers/Pursuant User Profiles/working/model/ktana10/glmer_20222023_county_obesity estimates.csv
FIPS,01011,2022-2023,Obesity,0.571039383717799,0.5736082790581045,0.46085836464697016,0.6722269681683353,C:/Cloud/OneDrive - Emory University/Papers/Pursuant User Profiles/working/model/ktana10/glmer_20222023_county_obesity estimates.csv
FIPS,01013,2022-2023,Obesity,0.5120361375532723,0.5078430014848963,0.3514568325823578,0.6758441529323365,C:/Cloud/OneDrive - Emory University/Papers/Pursuant User Profiles/working/model/ktana10/glmer_20222023_county_obesity estimates.csv
FIPS,01015,2022-2023,Obesity,0.5222864895399439,0.5223595056650393,0.3961095264147658,0.6440621830959827,C:/Cloud/OneDrive - Emory University/Papers/Pursuant User Profiles/working/model/ktana10/glmer_20222023_county_obesity estimates.csv
FIPS,01017,2022-2023,Obesity,0.5766743107785902,0.5773119484504896,0.45503850489233366,0.6905627584464297,C:/Cloud/OneDrive - Emory University/Papers/Pursuant User Profiles/working/model/ktana10/glmer_20222023_county_obesity estimates.csv
FIPS,01019,2022-2023,Obesity,0.5589694327347873,0.5612627497406097,0.4199231017564405,0.7061590999129123,C:/Cloud/OneDrive - Emory University/Papers/Pursuant User Profiles/working/model/ktana10/glmer_20222023_county_obesity estimates.csv
